artist,score,category
Alex Horley-Orlandelli,0.42623433,digipa-low-impact
Alex Howitt,0.52858865,digipa-high-impact
Alex Katz,0.76317835,scribbles
Alex Maleev,0.6067118,fineart
Alex Prager,0.6641814,fineart
Alex Ross,0.42460668,digipa-low-impact
Alex Russell Flint,0.5900352,digipa-high-impact
Alex Schomburg,0.46614102,digipa-low-impact
Alex Timmermans,0.64443207,digipa-high-impact
Alex Toth,0.6305541,digipa-high-impact
Alexander Archipenko,0.7759824,scribbles
Alexander Bogen,0.48421195,digipa-med-impact
Alexander Calder,0.83832693,scribbles
Alexander Carse,0.46078917,digipa-low-impact
Alexander Deyneka,0.55000365,fineart
Alexander Fedosav,0.48360944,digipa-med-impact
Alexander Ivanov,0.4539051,digipa-low-impact
Alexander Jansson,0.69298327,scribbles
Alexander Johnston,0.4326589,digipa-low-impact
Alexander Litovchenko,0.54210097,fineart
Alexander McQueen,0.5101986,digipa-med-impact
Alexander Millar,0.7011144,scribbles
Alexander Milne Calder,0.6081027,fineart
Alexander Nasmyth,0.57695735,fineart
Alexander Robertson,0.4300743,digipa-low-impact
Alexander Rodchenko,0.67415404,scribbles
Alexander Roslin,0.66719526,fineart
Alexander Runciman,0.5944449,digipa-high-impact
Alexander Sharpe Ross,0.49519226,digipa-med-impact
Alexander Stirling Calder,0.6331682,fineart
Alexander V. Kuprin,0.5925917,fineart
Alexandr Averin,0.58533764,fineart
Alexandre Antigna,0.5526737,fineart
Alexandre Benois,0.7141515,fineart
Alexandre Cabanel,0.63849115,fineart
Alexandre Calame,0.5735474,fineart
Alexandre Falguière,0.55011404,fineart
Alexandre Jacovleff,0.3991747,digipa-low-impact
Alexandre-Évariste Fragonard,0.6507174,fineart
Alexandre-Évariste Fragonard,0.6507174,fineart
Alexei Harlamoff,0.48255378,digipa-med-impact
Alexei Kondratyevich Savrasov,0.6470352,fineart
Alexej von Jawlensky,0.8308932,scribbles
Alexey Merinov,0.4469615,digipa-low-impact
Alexis Grimou,0.41958088,digipa-low-impact
Alexis Simon Belle,0.3190395,digipa-low-impact
Alfons Karpiński,0.53564656,fineart
Alfons von Czibulka,0.4801954,digipa-med-impact
Alfons Walde,0.58728385,fineart
Alfonse Mucha,0.7139052,special
Alfred Augustus Glendening,0.64009607,fineart
Alfred Charles Parker,0.54521024,fineart
Alfred Cheney Johnston,0.6647291,fineart
Alfred East,0.5296565,digipa-high-impact
Alfred Edward Chalon,0.6464571,fineart
Alfred Eisenstaedt,0.67213774,black-white
Alfred Guillou,0.6472603,fineart
Alfred Heber Hutty,0.56419206,fineart
Alfred Henry Maurer,0.6964837,fineart
Alfred Janes,0.5264481,digipa-high-impact
Alfred Jensen,0.49291304,digipa-med-impact
Alfred Kelsner,0.5455753,nudity
Alfred Krupa,0.47052455,digipa-low-impact
Alfred Kubin,0.74409986,fineart
Alfred Leslie,0.557555,fineart
Alfred Leyman,0.5887217,fineart
Alfred Manessier,0.640153,fineart
Alfred Munnings,0.6723851,fineart
Alfred Parsons,0.5127445,digipa-med-impact
Alfred Richard Gurrey,0.584306,fineart
Alfred Sisley,0.7306032,fineart
Alfred Stevens,0.6557321,fineart
Alfred Thompson Bricher,0.6247515,fineart
Alfred Wallis,0.77926695,scribbles
Alfredo Jaar,0.6952965,digipa-high-impact
Alfredo Volpi,0.49367586,digipa-med-impact
Algernon Blackwood,0.59256804,fineart
Algernon Talmage,0.65702903,fineart
Alice Bailly,0.6305177,fineart
Alice Mason,0.48188528,fareast
Alice Neel,0.67255914,scribbles
Alice Pasquini,0.78949904,cartoon
Alice Prin,0.54435575,digipa-high-impact
Alice Rahon,0.6777824,scribbles
Alison Bechdel,0.68096143,scribbles
Alison Debenham,0.4998683,digipa-med-impact
Alison Kinnaird,0.6306353,digipa-high-impact
Alison Watt,0.43141022,digipa-low-impact
Aliza Razell,0.5863178,digipa-high-impact
Allan Brooks,0.46882123,digipa-low-impact
Allan Linder,0.46812692,digipa-low-impact
Allan Ramsay,0.63150716,fineart
Allen Butler Talcott,0.5830911,fineart
Allen Jones,0.6869935,scribbles
Allen Tupper True,0.43556124,digipa-low-impact
Allen Williams,0.47675848,digipa-med-impact
Allie Brosh,0.6042061,digipa-high-impact
Allison Bechdel,0.58383805,digipa-high-impact
Alma Thomas,0.87658304,weird
Almada Negreiros,0.54670584,fineart
Almeida Júnior,0.515856,digipa-med-impact
Alois Arnegger,0.5991994,fineart
Alonso Vázquez,0.49205148,digipa-med-impact
Aloysius O'Kelly,0.5102891,digipa-med-impact
Alphonse Legros,0.6983243,fineart
Alphonse Mucha,0.74171394,special
Alphonse Osbert,0.70724136,fineart
Alpo Jaakola,0.44981295,digipa-low-impact
Alson S. Clark,0.5278568,digipa-high-impact
Alson Skinner Clark,0.58631575,fineart
Alton Tobey,0.4416385,digipa-low-impact
Altoon Sultan,0.4820177,digipa-med-impact
Alvar Aalto,0.61122143,digipa-high-impact
Alvaro Siza,0.58406967,digipa-high-impact
Alvin Langdon Coburn,0.8035004,black-white
Alyssa Monks,0.50734174,digipa-med-impact
Amadeo de Souza Cardoso,0.5927926,fineart
Amadou Opa Bathily,0.5536976,n
Amalia Lindegren,0.5471987,digipa-high-impact
Amanda Sage,0.37731662,fareast
Amandine Van Ray,0.6174208,digipa-high-impact
Ambrose McCarthy Patterson,0.61764514,fineart
Ambrosius Benson,0.6457839,fineart
Ambrosius Bosschaert II,0.6854217,fineart
Ambrosius Bosschaert,0.67364097,digipa-high-impact
Ambrosius Holbein,0.6798341,fineart
Amedee Ozenfant,0.47950014,digipa-med-impact
Amedeo Modigliani,0.71788836,scribbles
Amelia Peláez,0.46764764,digipa-low-impact
Amelia Robertson Hill,0.4654411,fineart
Americo Makk,0.5034161,digipa-med-impact
Amiet Cuno,0.41975892,digipa-low-impact
Ammi Phillips,0.43095884,digipa-low-impact
Amos Ferguson,0.4418735,digipa-low-impact
Amy Earles,0.74603415,fineart
Amy Judd,0.57142305,digipa-high-impact
Amy Sillman,0.752921,scribbles
Amédée Guillemin,0.6752696,fineart
Amédée Ozenfant,0.4585215,digipa-low-impact
An Zhengwen,0.56942475,fareast
Anato Finnstark,0.6744919,digipa-high-impact
Anatoly Metlan,0.48020265,digipa-med-impact
Ancell Stronach,0.5084514,digipa-med-impact
Anders Zorn,0.6361722,fineart
Ando Fuchs,0.73406494,black-white
Andre De Dienes,0.5683014,digipa-high-impact
Andre de Krayewski,0.4628024,digipa-low-impact
Andre Derain,0.73050404,scribbles
Andre Kertesz,0.7228358,black-white
Andre Kohn,0.5581832,special
Andre Norton,0.5007602,digipa-med-impact
Andre-Charles Boulle,0.6200789,fineart
Andrea del Sarto,0.698532,fineart
Andrea del Verrocchio,0.77307427,fineart
Andrea Kowch,0.51822996,digipa-med-impact
Andrea Mantegna,0.7190254,fineart
Andrea Pozzo,0.626546,fineart
Andreas Achenbach,0.61108655,fineart
Andreas Franke,0.4300047,digipa-low-impact
Andreas Gursky,0.67610145,digipa-high-impact
Andreas Levers,0.42125136,digipa-low-impact
Andreas Rocha,0.49621177,special
Andreas Vesalius,0.763446,fineart
Andrei Kolkoutine,0.44328922,digipa-low-impact
Andrei Markin,0.5328752,fineart
Andrei Rublev,0.83950496,fineart
Andrei Ryabushkin,0.5158933,fineart
Andrew Atroshenko,0.55009747,fineart
Andrew Ferez,0.5911011,fineart
Andrew Loomis,0.54854584,fineart
Andrew Macara,0.69307995,fineart
Andrew Robertson,0.5529603,digipa-high-impact
Andrew Whem,0.43512022,digipa-low-impact
Andrew Wyeth,0.6507103,fineart
Andrey Remnev,0.7041204,digipa-high-impact
Andrey Yefimovich Martynov,0.537721,fineart
Andréi Arinouchkine,0.52763486,digipa-high-impact
Android Jones,0.61023116,fareast
André Bauchant,0.57124996,fineart
André Beauneveu,0.584062,fineart
André Castro,0.4771826,digipa-med-impact
André Charles Biéler,0.5847876,fineart
André Derain,0.7009005,scribbles
André François,0.58402044,fineart
André Kertész,0.7319392,black-white
André Lhote,0.68718815,scribbles
André Masson,0.727404,scribbles
André Pijet,0.5768274,fineart
André Thomkins,0.5343785,digipa-high-impact
Andrée Ruellan,0.60395086,fineart
Andy Fairhurst,0.6480388,special
Andy Goldsworthy,0.7307565,digipa-high-impact
Andy Kehoe,0.82063186,cartoon
Andy Warhol,0.8654825,scribbles
Aneurin Jones,0.65191466,fineart
Angela Barrett,0.55976534,digipa-high-impact
Angela Sung,0.391746,fareast
Angelica Kauffman,0.6748828,fineart
Angus McKie,0.61487424,digipa-high-impact
Aniello Falcone,0.51475304,digipa-med-impact
Anish Kapoor,0.6067015,digipa-high-impact
Anita Kunz,0.4356005,digipa-low-impact
Anita Malfatti,0.5080986,digipa-med-impact
Anja Millen,0.6064488,digipa-high-impact
Anja Percival,0.45039332,digipa-low-impact
Anka Zhuravleva,0.5822078,digipa-high-impact
Ann Stookey,0.54269934,digipa-high-impact
Ann Thetis Blacker,0.5416629,digipa-high-impact
Anna Ancher,0.66581213,fineart
Anna and Elena Balbusso,0.59955937,digipa-low-impact
Anna Bocek,0.6382304,scribbles
Anna Boch,0.577735,fineart
Anna Dittmann,0.62327325,cartoon
Anna Findlay,0.54018176,digipa-high-impact
Anna Füssli,0.59600973,fineart
Anna Haifisch,0.47672725,digipa-med-impact
Anna Maria Barbara Abesch,0.4611045,digipa-low-impact
Anna Mary Robertson Moses,0.6709144,fineart
Anna Razumovskaya,0.5229187,digipa-med-impact
Annabel Eyres,0.51136214,digipa-med-impact
Annabel Kidston,0.51327646,digipa-med-impact
Anne Bachelier,0.6464065,fineart
Anne Brigman,0.6865817,black-white
Anne Dewailly,0.58905107,fineart
Anne Dunn,0.46722376,digipa-low-impact
Anne Geddes,0.45785287,digipa-low-impact
Anne Mccaffrey,0.4719924,digipa-low-impact
Anne Nasmyth,0.54221964,fineart
Anne Packard,0.7046703,weird
Anne Redpath,0.66407835,scribbles
Anne Rigney,0.48357943,digipa-med-impact
Anne Rothenstein,0.70502245,scribbles
Anne Ryan,0.48511976,digipa-med-impact
Anne Said,0.49473995,digipa-med-impact
Anne Savage,0.5310638,digipa-high-impact
Anne Stokes,0.4786997,digipa-med-impact
Anne Sudworth,0.5947539,fineart
Anne Truitt,0.73297834,scribbles
Anne-Louis Girodet,0.58104825,nudity
Anni Albers,0.65708244,digipa-high-impact
Annibale Carracci,0.73251307,fineart
Annick Bouvattier,0.54647046,fineart
Annie Abernethie Pirie Quibell,0.6240767,fineart
Annie Rose Laing,0.5597829,fineart
Annie Soudain,0.7671485,scribbles
Annie Swynnerton,0.6663346,fineart
Anselm Kiefer,0.71514887,scribbles
Anson Maddocks,0.46539295,digipa-low-impact
Antanas Sutkus,0.7369492,black-white
Anthony Gerace,0.636678,digipa-high-impact
Anthony Thieme,0.65609205,fineart
Anthony van Dyck,0.6577681,fineart
Anto Carte,0.4708289,digipa-low-impact
Antoine Blanchard,0.63036835,fineart
Antoine Ignace Melling,0.61502695,fineart
Antoine Le Nain,0.6233709,fineart
Antoine Verney-Carron,0.56386137,fineart
Antoine Wiertz,0.6143825,fineart
Anton Ažbe,0.48984748,fineart
Anton Corbijn,0.5550669,digipa-high-impact
Anton Domenico Gabbiani,0.55471313,fineart
Anton Fadeev,0.73433846,cartoon
Anton Graff,0.38569996,digipa-low-impact
Anton Lehmden,0.5268611,fineart
Anton Mauve,0.6586873,fineart
Anton Möller,0.5127209,digipa-med-impact
Anton Otto Fischer,0.6222941,fineart
Anton Pieck,0.65310377,fineart
Anton Raphael Mengs,0.6689196,fineart
Anton Räderscheidt,0.55618906,fineart
Anton Semenov,0.6552501,digipa-high-impact
Antonello da Messina,0.70806944,fineart
Antoni Gaudi,0.62162614,fineart
Antoni Pitxot,0.40582713,digipa-low-impact
Antoni Tàpies,0.685689,fineart
Antonin Artaud,0.67321455,fineart
Antonio Canova,0.58764786,fineart
Antonio Cavallucci,0.4645282,digipa-low-impact
Antonio Ciseri,0.5073538,fineart
Antonio de la Gandara,0.6479292,fineart
Antonio Donghi,0.4610982,digipa-low-impact
Antonio Galli Bibiena,0.6399247,digipa-high-impact
Antonio J. Manzanedo,0.53841716,fineart
Antonio Mancini,0.6631618,fineart
Antonio Mora,0.5334297,digipa-high-impact
Antonio Rotta,0.54909515,fineart
Antonio Roybal,0.4792729,digipa-med-impact
Antonio Saura,0.7155949,scribbles
Antony Gormley,0.54696125,digipa-high-impact
Antonín Chittussi,0.431248,digipa-low-impact
Antonín Slavíček,0.5040368,fineart
Antônio Parreiras,0.45269623,digipa-low-impact
Apelles,0.5166026,fineart
Apollinary Vasnetsov,0.6613177,fineart
Apollonia Saintclair,0.7718383,anime
Arabella Rankin,0.50572735,digipa-med-impact
Araceli Gilbert,0.44399196,digipa-low-impact
Archibald Motley,0.7343683,scribbles
Archibald Robertson,0.55129635,digipa-high-impact
Archibald Skirving,0.6044234,fineart
Archibald Standish Hartrick,0.54850936,digipa-high-impact
Archibald Thorburn,0.5882001,fineart
Arcimboldo,0.6509897,fineart
Arent Arentsz,0.43373522,digipa-low-impact
Arie Smit,0.5249027,fineart
Aries Moross,0.4863676,digipa-med-impact
Aristarkh Lentulov,0.846537,scribbles
Aristide Maillol,0.66843045,scribbles
Arkhip Kuindzhi,0.7249981,fineart
Arkhyp Kuindzhi,0.6928072,digipa-high-impact
Arlington Nelson Lindenmuth,0.4683814,digipa-low-impact
Armand Guillaumin,0.7840431,scribbles
Armand Point,0.610156,fineart
Armin Baumgarten,0.444061,digipa-low-impact
Armin Hansen,0.59669334,anime
Arnold Blanch,0.535774,fineart
Arnold Bocklin,0.6730706,fineart
Arnold Bronckhorst,0.526247,fineart
Arnold Brügger,0.5080749,digipa-med-impact
Arnold Böcklin,0.71407956,fineart
Arnold Franz Brasz,0.65834284,nudity
Arnold Mesches,0.5834257,fineart
Arnold Newman,0.5736342,digipa-high-impact
Arnold Schoenberg,0.56520367,fineart
Aron Demetz,0.49895018,digipa-med-impact
Aron Wiesenfeld,0.68331146,nudity
Arshile Gorky,0.71459055,scribbles
Art & Language,0.5341332,digipa-high-impact
Art Brenner,0.42619684,digipa-low-impact
Art Fitzpatrick,0.49847245,fineart
Art Frahm,0.56439924,fineart
Art Green,0.5714495,digipa-high-impact
Art of Brom,0.45828784,fineart
Art Spiegelman,0.7656343,scribbles
Artemisia Gentileschi,0.70198226,fineart
Artgerm,0.44555497,fineart
Arthur Adams,0.5639404,fineart
Arthur B. Carles,0.54447794,fineart
Arthur Boyd,0.69399726,fineart
Arthur Burdett Frost,0.6147318,fineart
Arthur Dove,0.74383533,scribbles
Arthur Garfield Dove,0.6694996,scribbles
Arthur Hacker,0.66062653,fineart
Arthur Hughes,0.6310194,fineart
Arthur Lismer,0.7251765,scribbles
Arthur Melville,0.7286146,fineart
Arthur Merric Boyd,0.6373228,fineart
Arthur Quartley,0.6628106,fineart
Arthur Rackham,0.77418125,fineart
Arthur Radebaugh,0.5577016,fineart
Arthur Sarnoff,0.5189428,fineart
Arthur Stanley Wilkinson,0.67860866,fineart
Arthur Streeton,0.6592294,fineart
Arthur Tress,0.6301861,digipa-high-impact
Arthur Wardle,0.5510789,fineart
Arthur Webster Emerson,0.5478842,fineart
Artur Bordalo,0.7364549,weird
Arturo Souto,0.6280583,fineart
Artus Scheiner,0.6313348,fineart
Arvid Nyholm,0.46697336,digipa-low-impact
Ary Scheffer,0.64913243,fineart
Asaf Hanuka,0.72222745,scribbles
Asger Jorn,0.7129575,scribbles
Asher Brown Durand,0.72264796,fineart
Ashley Wood,0.4398396,digipa-low-impact
Atelier Olschinsky,0.69349927,fineart
Atey Ghailan,0.674873,scribbles
Aubrey Beardsley,0.77970016,scribbles
Audrey Kawasaki,0.654843,fineart
August Friedrich Schenck,0.6801586,fineart
August Lemmer,0.5683548,fineart
August Macke,0.8362022,scribbles
August Querfurt,0.6295643,fineart
August Sander,0.6644566,black-white
August von Pettenkofen,0.60910493,fineart
Auguste Baud-Bovy,0.6219854,fineart
Auguste Herbin,0.6866145,scribbles
Auguste Mambour,0.5604873,fineart
Auguste Toulmouche,0.64261353,fineart
Augustin Meinrad Bächtiger,0.6465789,fineart
Augustus Dunbier,0.55872476,fineart
Augustus Earle,0.49196815,fineart
Augustus Edwin Mulready,0.6482165,fineart
Augustus Jansson,0.6845705,digipa-high-impact
Augustus John,0.6191995,fineart
Augustus Vincent Tack,0.5136602,fineart
Augustyn Mirys,0.5474162,fineart
Aurél Bernáth,0.54968774,fineart
Auseklis Ozols,0.46569023,digipa-low-impact
Austin Briggs,0.57675314,fineart
Austin Osman Spare,0.7079903,fineart
Avigdor Arikha,0.49384058,digipa-med-impact
Awataguchi Takamitsu,0.6656272,anime
Axel Törneman,0.49401706,digipa-med-impact
Ayako Rokkaku,0.61891204,fareast
Ayami Kojima,0.5877416,fineart
Aykut Aydogdu,0.43111503,digipa-low-impact
Ayshia Taşkın,0.463412,digipa-low-impact
Baiōken Eishun,0.6730663,anime
Bakemono Zukushi,0.67051035,anime
Balcomb Greene,0.5162045,digipa-med-impact
Balthasar van der Ast,0.66294503,fineart
Balthus,0.6314323,scribbles
Balázs Diószegi,0.432244,digipa-low-impact
Banksy,0.80695426,scribbles
Bapu,0.6122084,c
Barbara Balmer,0.48528513,fineart
Barbara Greg,0.50674164,digipa-med-impact
Barbara Hepworth,0.68958247,fineart
Barbara Kruger,0.7562784,scribbles
Barbara Longhi,0.5985706,fineart
Barbara Nasmyth,0.5446056,fineart
Barbara Nessim,0.60589516,digipa-high-impact
Barbara Stauffacher Solomon,0.6920825,fineart
Barbara Takenaga,0.86223894,scribbles
Barclay Shaw,0.53689134,digipa-high-impact
Barent Fabritius,0.6707407,fineart
Barkley Hendricks,0.6883637,n
Barkley L. Hendricks,0.69986427,n
Barnett Newman,0.7236389,scribbles
Barry McGee,0.77618384,scribbles
Barry Windsor Smith,0.6765375,cartoon
Bart Sears,0.5838427,cartoon
Barthel Bruyn the Elder,0.6509954,fineart
Barthel Bruyn the Younger,0.6551433,fineart
Bartholomeus Breenbergh,0.6163084,fineart
Bartholomeus Strobel,0.54703736,fineart
Bartholomeus van Bassen,0.6676872,fineart
Bartholomeus van der Helst,0.66411966,fineart
Barthélemy d'Eyck,0.65156406,fineart
Barthélemy Menn,0.61064315,fineart
Bartolome Esteban Murillo,0.6933951,fineart
Bartolomeo Cesi,0.5136737,digipa-med-impact
Bartolomeo Vivarini,0.53465015,fineart
Bartolomé Esteban Murillo,0.7011274,fineart
Basil Blackshaw,0.6805679,fineart
Basil Gogos,0.658105,fineart
Bastien L. Deharme,0.583349,special
Bastien Lecouffe-Deharme,0.5201288,fineart
Basuki Abdullah,0.50613165,digipa-med-impact
Bauhaus,0.43454266,digipa-low-impact
Bayard Wu,0.57171166,fineart
Beatrice Ethel Lithiby,0.61030364,fineart
Beatrice Huntington,0.5328165,digipa-high-impact
Beatrix Potter,0.6969851,fineart
Beauford Delaney,0.72999024,scribbles
Becky Cloonan,0.67192084,cartoon
Bedwyr Williams,0.44616276,digipa-low-impact
Beeple,0.40085253,digipa-low-impact
Beksinski,0.71218586,fineart
Bella Kotak,0.6409608,digipa-high-impact
Ben Aronson,0.6011548,fineart
Ben Goossens,0.53002644,digipa-high-impact
Ben Nicholson,0.7411573,scribbles
Ben Quilty,0.6875855,fineart
Ben Shahn,0.8104582,scribbles
Ben Templesmith,0.5498991,digipa-high-impact
Ben Thompson,0.43436068,digipa-low-impact
Ben Zoeller,0.44368798,digipa-low-impact
Benedetto Caliari,0.52370214,digipa-med-impact
Benito Quinquela Martín,0.54194224,fineart
Benjamin Block,0.55251944,digipa-high-impact
Benjamin Gerritsz Cuyp,0.6992173,fineart
Benjamin Marra,0.61809736,nudity
Benjamin West,0.6642946,fineart
Benjamin Williams Leader,0.5611925,fineart
Benoit B. Mandelbrot,0.5033001,digipa-med-impact
